DATE,DGS5
2019-11-26,1.58
2019-11-27,1.63
2019-11-28,.
2019-11-29,1.62
2019-12-02,1.65
2019-12-03,1.54
2019-12-04,1.60
2019-12-05,1.62
2019-12-06,1.67
2019-12-09,1.67
2019-12-10,1.68
2019-12-11,1.64
2019-12-12,1.73
2019-12-13,1.66
2019-12-16,1.72
2019-12-17,1.71
2019-12-18,1.74
2019-12-19,1.73
2019-12-20,1.73
2019-12-23,1.75
2019-12-24,1.72
2019-12-25,.
2019-12-26,1.72
2019-12-27,1.68
2019-12-30,1.68
